logspace_numerical_delay,logspace_measured_delay,logspace_measured_delay_sdev,logspace_measured_pulse_width,logspace_measured_pulse_width_sdev,logspace_measured_pulse_pair_resolution,logspace_measured_pulse_pair_resolution_sdev
18.808,18.821,7,4.092,0.006,8.628,0.006
23.798,23.783,7,5.328,0.008,8.415,0.006
30.108,30.108,7,7.185,0.008,8.755,0.007
38.088,38.047,8,10.381,0.011,12.42,0.008
48.178,48.145,9,15.193,0.018000000000000002,17.436,0.008
60.958,60.904,10,9.997,0.015,15.703,0.01
77.118,77.246,11,15.614,0.023,17.936,0.012
97.558,97.648,12,23.424,0.035,26.141,0.016
123.418,123.541,16,38.404,0.023,40.729,0.021
156.148,156.248,18,42.405,0.02,47.207,0.027
197.538,197.695,22,,,,
249.898,250.016,26,,,,
316.158,316.328,33,,,,
399.978,399.979,42,,,,
506.018,506.15,53,,,,
640.178,640.171,69,,,,
809.898,809.891,124,,,,
1024.608,1024.59,103,,,,
1296.248,1296.132,124,,,,
1635.915,1635.88,157,,,,
