jitter_values_0,jitter_values_1,jitter_values_2,jitter_values_3,jitter_values_4,jitter_values_5,jitter_values_6
15,14,14,14,14,14,14
15,14,14,14,14,14,14
15,14,14,14,14,14,14
15,14,14,14,14,14,14
15,15,14,14,14,14,14
15,14,14,14,14,14,14
15,14,14,15,14,14,14
15,14,14,15,14,14,14
15,14,14,14,14,14,14
15,14,14,14,14,14,14
15,15,14,14,14,14,14
15,14,14,14,14,14,14
15,14,14,14,15,14,14
15,15,14,14,14,14,14
15,14,14,14,14,14,14
15,14,14,15,14,14,15
15,14,14,14,14,14,14
15,14,15,14,14,14,15
15,14,14,15,14,15,15
16,16,15,14,14,14,14
16,15,15,15,15,15,15
17,16,16,16,16,16,16
19,19,19,19,19,19,19
25,25,25,25,26,25,26
39,39,38,37,39,39,39
