temp_senz_values_0,temp_senz_values_1,temp_senz_values_2,temp_senz_values_3,temp_senz_values_4,temp_senz_values_5,temp_senz_values_6
30.4,35.0,40.2,45.2,50.3,56.0,60.1
30.4,35.0,40.2,45.2,50.2,56.0,60.1
30.4,35.0,40.2,45.2,50.2,56.0,60.1
30.4,35.0,40.2,45.2,50.2,56.0,60.1
30.4,34.9,40.2,45.2,50.1,56.0,60.1
30.4,34.9,40.2,45.2,50.1,56.0,60.1
30.4,34.9,40.2,45.2,50.1,56.0,60.1
30.3,34.9,40.2,45.2,50.1,56.0,60.1
30.3,34.9,40.2,45.2,50.1,56.0,60.1
30.3,34.9,40.2,45.2,50.1,56.0,60.1
30.3,34.9,40.2,45.2,50.1,55.9,60.0
30.3,34.9,40.2,45.2,50.1,55.9,60.0
30.4,34.9,40.2,45.2,50.1,55.9,60.0
30.4,34.9,40.2,45.2,50.1,55.9,60.0
30.4,34.9,40.1,45.1,50.1,55.8,60.0
30.5,34.9,40.1,45.1,50.1,55.8,60.0
30.5,34.8,40.1,45.1,50.1,55.7,60.0
30.5,34.8,40.1,45.1,50.1,55.6,59.9
30.5,34.8,40.1,45.1,50.1,55.6,59.9
30.5,34.8,40.1,45.0,50.2,55.6,59.9
30.6,34.8,40.1,45.0,50.2,55.6,59.9
30.6,34.8,40.1,45.0,50.2,55.6,59.9
30.6,34.8,40.1,45.0,50.2,55.6,59.9
30.6,34.8,40.0,45.0,50.3,55.6,59.9
30.6,34.8,40.0,45.0,50.3,55.6,59.9
