zoom_1_icode,zoom_1_delay,zoom_1_sdev,zoom_2_icode,zoom_2_delay,zoom_2_sdev,zoom_3_icode,zoom_3_delay,zoom_3_sdev
61470,60.619,0.014,879522,246.2,0.028,7752428,1001.176,0.098
58915,60.586,0.014,786281,246.22,0.029,7722130,1001.246,0.098
59009,60.601,0.014,889079,246.283,0.028,11444038,1001.25,0.098
52981,60.609,0.014,880056,246.246,0.028,7722144,1001.322,0.097
55193,60.619,0.014,891151,246.31,0.029,7725079,1001.321,0.1
58164,60.637,0.014,1163340,246.335,0.029,7766340,1001.31,0.099
57717,60.653,0.014,890970,246.369,0.03,7720038,1001.281,0.099
53087,60.651,0.014,881431,246.364,0.028,7720132,1001.258,0.098
59667,60.668,0.014,882769,246.37,0.029,7721277,1001.274,0.096
49047,60.665,0.014,876390,246.343,0.028,11443063,1001.27,0.097
55548,60.69,0.014,876484,246.357,0.028,7700472,1001.285,0.10200000000000001
48988,60.688,0.014,881264,246.384,0.028,7714609,1001.279,0.095
57715,60.71,0.013000000000000001,1141741,246.361,0.029,7715917,1001.292,0.096
47095,60.703,0.014,785390,246.353,0.03,7714398,1001.333,0.099
55727,60.721,0.013000000000000001,889738,246.391,0.028,7719157,1001.365,0.1
53099,60.719,0.014,881443,246.379,0.029,7712597,1001.389,0.093
53193,60.742,0.013000000000000001,876482,246.367,0.028,7754630,1001.433,0.096
48986,60.739,0.014,875509,246.378,0.027,7714246,1001.435,0.096
71615,60.768,0.014,881977,246.422,0.029,7715389,1001.44,0.097
49000,60.764,0.014,879431,246.433,0.028,7719602,1001.456,0.096
75206,60.806,0.014,881839,246.479,0.028,7715223,1001.445,0.097
55124,60.802,0.014,880412,246.466,0.029,7712595,1001.42,0.098
55659,60.803,0.014,879965,246.479,0.028,7714504,1001.475,0.095
76183,60.824,0.014,875507,246.484,0.028,7712609,1001.42,0.097
75370,60.846,0.014,879857,246.511,0.028,7713271,1001.46,0.099
57088,60.835,0.014,878460,246.518,0.029,7715481,1001.422,0.091
56641,60.849,0.014,922111,246.506,0.029,7719275,1001.479,0.098
55122,60.857,0.014,880410,246.51,0.028,7708655,1001.458,0.096
76441,60.869,0.014,851950,246.507,0.028,7715162,1001.479,0.099
55136,60.891,0.014,880424,246.524,0.028,7713529,1001.545,0.099
69615,60.874,0.014,879977,246.533,0.027,7715176,1001.574,0.099
